district	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	longitude	latitude	attraction	building	busstop	community	mall	primaryschool	restaurant	secondaryschool	university	deltausers
东城区	商住两用	1	1	0	0	0	0	1	43000.0	1320.0	13.0	116.40883	39.962284	2	8	0	15	0	0	1	1	0	-63
西城区	纯住宅	1	0	0	0	0	0	1	44578.0	2450.0	20.0	116.33137	39.88354	3	1	2	28	2	0	42	0	0	-66
西城区	商住两用	1	1	1	0	0	0	0	66060.0	1320.0	16.0	116.39086	39.948032	11	0	1	6	0	1	20	1	0	-82
朝阳区	纯住宅	1	1	1	1	1	0	0	51000.0	910.0	17.0	116.47578	39.952496	1	3	1	63	0	1	58	0	0	-40
西城区	商住两用	1	1	1	1	1	0	1	67227.0	5280.0	10.5	116.38173	39.89718	1	0	2	7	0	0	30	0	0	-52
丰台区	纯住宅	1	1	1	0	0	0	1	40441.0	1225.0	14.0	116.4254	39.856766	0	1	2	34	0	1	9	1	0	-66
朝阳区	纯住宅	1	1	1	1	1	0	0	56300.0	3500.0	16.5	116.462585	39.992184	2	9	2	37	0	0	5	0	0	-68
丰台区	纯住宅	1	0	0	0	0	0	1	35000.0	3990.0	23.0	116.270325	39.881573	0	0	0	5	0	0	3	0	0	-65
东城区	商住两用	1	1	1	1	1	0	1	33500.0	1320.0	10.0	116.407	39.952415	3	0	0	13	0	1	25	3	0	-82
东城区	写字楼	1	1	0	1	1	0	0	NULL	3520.0	5.0	116.407	39.952415	3	0	0	13	0	1	25	3	0	-82
朝阳区	纯住宅	1	1	1	0	1	0	1	69644.0	630.0	9.5	116.41275	39.971844	3	5	2	20	1	0	31	1	0	-72
朝阳区	纯住宅	1	1	1	1	1	0	1	48014.0	4158.0	21.5	116.458015	39.98403	0	0	2	1	0	0	1	0	0	-117
丰台区	纯住宅	0	1	1	0	1	0	1	30000.0	8750.0	19.5	116.316055	39.851627	1	1	2	30	0	1	5	0	0	-20
朝阳区	写字楼	1	1	1	1	1	0	0	43000.0	6195.2	33.0	116.458496	39.915092	1	14	1	141	0	0	91	1	0	-177
海淀区	写字楼	1	1	1	1	0	0	1	NULL	3520.0	19.0	116.316345	39.97767	6	7	1	34	0	0	15	1	5	-189
石景山	写字楼	1	0	1	0	0	0	1	NULL	2640.0	12.0	116.19507	39.90702	0	3	0	0	0	0	6	0	0	-57
石景山	纯住宅	1	0	1	0	1	0	1	32000.0	4844.0	20.0	116.1905	39.925148	1	4	0	9	0	0	5	0	0	-40
东城区	纯住宅	1	1	1	1	1	0	1	58635.0	3801.0	15.0	116.440735	39.889175	2	6	1	39	0	2	39	0	0	0
东城区	写字楼	1	1	0	0	0	0	1	47000.0	3520.0	5.0	116.43597	39.884808	1	0	0	10	0	0	0	0	0	-86
海淀区	商住两用	1	1	1	0	0	0	1	40000.0	3960.0	13.0	116.27338	39.913467	0	4	5	37	1	0	52	0	0	-65
海淀区	纯住宅	1	1	1	1	1	1	1	62105.0	4823.0	7.5	116.27358	39.91765	0	1	1	31	0	0	11	0	0	-57
朝阳区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	12.0	116.46987	39.93411	7	13	4	84	1	0	43	0	0	-39
朝阳区	写字楼	1	1	0	1	0	0	0	30000.0	3520.0	4.0	116.46274	39.931656	0	19	2	45	0	2	39	1	0	-105
朝阳区	商住两用	1	1	1	1	1	0	0	60000.0	2640.0	19.0	116.45159	39.92614	1	18	0	37	1	0	86	2	0	-67
海淀区	纯住宅	1	1	1	1	1	0	1	50000.0	9800.0	13.0	116.31769	40.043907	0	25	6	2	0	0	41	0	0	-39
东城区	写字楼	1	0	1	1	0	0	0	NULL	3520.0	10.0	116.43879	39.936237	10	16	2	5	0	0	44	0	0	-78
海淀区	商住两用	1	0	0	0	0	0	1	NULL	5068.8	17.0	116.30924	40.033775	0	2	0	0	0	0	21	0	0	-28
东城区	商住两用	1	1	1	1	1	1	1	61043.0	5280.0	24.0	116.4411	39.936172	4	22	2	8	0	0	43	0	0	-56
海淀区	写字楼	1	1	0	0	0	0	0	NULL	3520.0	12.0	116.31194	40.03599	0	0	0	0	0	0	1	0	0	-92
